# ================================================================================
# Sentiment Analysis Dataset - Main Data File (CSV Format)
# 
# Project: Sentiment Analysis Dataset
# Description: Text sentiment analysis dataset with labeled reviews, comments,
#              and social media posts for sentiment classification models.
# Category: Text Data
# Difficulty: Intermediate
# 
# Author: Molla Samser (Founder)
# Designer & Tester: Rima Khatun
# Website: https://rskworld.in
# Email: help@rskworld.in | support@rskworld.in
# Phone: +91 93305 39277
# 
# © 2026 RSK World - Free Programming Resources & Source Code
# All rights reserved.
# ================================================================================

id,text,sentiment,source,date
1,"Absolutely love this product! It exceeded all my expectations and the quality is outstanding. Will definitely recommend to friends and family.",positive,Product Review,2026-01-15
2,"The service was okay, nothing special. Delivery was on time but the packaging could have been better. Average experience overall.",neutral,Customer Feedback,2026-01-16
3,"Terrible experience! The product arrived damaged and customer support was unhelpful. Complete waste of money. Never ordering again.",negative,Product Review,2026-01-17
4,"This is the best purchase I've made this year! The features are amazing and it works exactly as advertised. Highly satisfied customer here!",positive,Social Media,2026-01-18
5,"Received the package today. It looks decent but haven't tried it yet. Will update after a week of use.",neutral,Social Media,2026-01-19
6,"So disappointed with this purchase. The description was misleading and the actual product is nothing like what was shown in the pictures.",negative,Product Review,2026-01-20
7,"Great value for money! The build quality is solid and it performs really well. Shipping was fast too. Very happy with this purchase!",positive,Customer Feedback,2026-01-21
8,"Just unboxed my order. Standard quality, meets basic requirements. Not exceptional but does the job. Fair price for what you get.",neutral,Social Media,2026-01-22
9,"Worst customer service I've ever experienced. Three weeks and my issue is still not resolved. Absolutely frustrating and unprofessional.",negative,Customer Feedback,2026-01-23
10,"Five stars! This product changed my daily routine for the better. Excellent quality, beautiful design, and amazing functionality!",positive,Product Review,2026-01-24
11,"The product works as expected. Nothing extraordinary but nothing to complain about either. Average performance for the price point.",neutral,Product Review,2026-01-25
12,"Completely broken on arrival! Requested a refund but still waiting after two weeks. This company has lost a customer forever.",negative,Social Media,2026-01-26
13,"Impressed beyond words! The attention to detail is remarkable. Best investment I've made in a long time. Truly exceptional product!",positive,Customer Feedback,2026-01-27
